Date,Season,Week,Festive Period,Control Point,Arrival/Departure,Hong Kong Residents,Mainland Visitors,Other Visitors,Total
12/27/2019,Q4,5,L+A,Hong Kong-Zhuhai-Macao Bridge,Departure,20652,4257,4372,29281
12/27/2019,Q4,5,L+A,Lok Ma Chau,Arrival,26181,6465,901,33547
12/27/2019,Q4,5,L+A,Lok Ma Chau,Departure,20659,5319,617,26595
12/27/2019,Q4,5,L+A,Man Kam To,Arrival,2263,1678,21,3962
12/27/2019,Q4,5,L+A,Man Kam To,Departure,1981,1122,25,3128
12/27/2019,Q4,5,L+A,Sha Tau Kok,Arrival,2487,674,103,3264
12/27/2019,Q4,5,L+A,Sha Tau Kok,Departure,2174,548,59,2781
12/27/2019,Q4,5,L+A,Shenzhen Bay,Arrival,35323,14629,1374,51326
12/27/2019,Q4,5,L+A,Shenzhen Bay,Departure,30441,13317,1027,44785
12/27/2019,Q4,5,L+A,China Ferry Terminal,Arrival,3946,849,1033,5828
12/27/2019,Q4,5,L+A,China Ferry Terminal,Departure,2715,876,955,4546
12/27/2019,Q4,5,L+A,Harbour Control,Arrival,0,0,227,227
12/27/2019,Q4,5,L+A,Harbour Control,Departure,6,0,15,21
12/27/2019,Q4,5,L+A,Kai Tak Cruise Terminal,Arrival,2386,313,171,2870
12/27/2019,Q4,5,L+A,Kai Tak Cruise Terminal,Departure,3367,360,3102,6829
12/27/2019,Q4,5,L+A,Macau Ferry Terminal,Arrival,13405,621,2919,16945
12/27/2019,Q4,5,L+A,Macau Ferry Terminal,Departure,11577,629,2886,15092
12/27/2019,Q4,5,L+A,Tuen Mun Ferry Terminal,Arrival,902,10,25,937
12/27/2019,Q4,5,L+A,Tuen Mun Ferry Terminal,Departure,756,5,26,787
12/28/2019,Q4,5,L+A,Airport,Arrival,52705,5088,20784,78577
12/28/2019,Q4,5,L+A,Airport,Departure,39197,5306,15715,60218
12/28/2019,Q4,5,L+A,Express Rail Link West Kowloon,Arrival,14703,9205,897,24805
12/28/2019,Q4,5,L+A,Express Rail Link West Kowloon,Departure,11581,8326,733,20640
12/28/2019,Q4,5,L+A,Hung Hom,Arrival,1355,377,128,1860
12/28/2019,Q4,5,L+A,Hung Hom,Departure,1306,382,106,1794
12/28/2019,Q4,5,L+A,Lo Wu,Arrival,78697,22234,1356,102287
12/28/2019,Q4,5,L+A,Lo Wu,Departure,93192,24405,1087,118684
12/28/2019,Q4,5,L+A,Lok Ma Chau Spur Line,Arrival,44287,27320,516,72123
12/28/2019,Q4,5,L+A,Lok Ma Chau Spur Line,Departure,49172,26015,444,75631
12/28/2019,Q4,5,L+A,Hong Kong-Zhuhai-Macao Bridge,Arrival,23282,2729,3736,29747
12/28/2019,Q4,5,L+A,Hong Kong-Zhuhai-Macao Bridge,Departure,23640,4086,4911,32637
12/28/2019,Q4,5,L+A,Lok Ma Chau,Arrival,23586,6926,847,31359
12/28/2019,Q4,5,L+A,Lok Ma Chau,Departure,22954,5235,581,28770
12/28/2019,Q4,5,L+A,Man Kam To,Arrival,1984,2189,12,4185
12/28/2019,Q4,5,L+A,Man Kam To,Departure,2097,1643,35,3775
12/28/2019,Q4,5,L+A,Sha Tau Kok,Arrival,2131,750,76,2957
12/28/2019,Q4,5,L+A,Sha Tau Kok,Departure,2372,635,38,3045
12/28/2019,Q4,5,L+A,Shenzhen Bay,Arrival,32617,20750,1308,54675
12/28/2019,Q4,5,L+A,Shenzhen Bay,Departure,35882,19865,1069,56816
12/28/2019,Q4,5,L+A,China Ferry Terminal,Arrival,3295,763,1157,5215
12/28/2019,Q4,5,L+A,China Ferry Terminal,Departure,3145,747,949,4841
12/28/2019,Q4,5,L+A,Harbour Control,Arrival,0,0,44,44
12/28/2019,Q4,5,L+A,Harbour Control,Departure,0,0,16,16
12/28/2019,Q4,5,L+A,Kai Tak Cruise Terminal,Arrival,214,4118,52,4384
12/28/2019,Q4,5,L+A,Kai Tak Cruise Terminal,Departure,212,4115,54,4381
12/28/2019,Q4,5,L+A,Macau Ferry Terminal,Arrival,11983,469,3065,15517
12/28/2019,Q4,5,L+A,Macau Ferry Terminal,Departure,12632,578,2740,15950
12/28/2019,Q4,5,L+A,Tuen Mun Ferry Terminal,Arrival,753,16,35,804
12/28/2019,Q4,5,L+A,Tuen Mun Ferry Terminal,Departure,709,10,30,749
12/29/2019,Q4,5,L+A,Airport,Arrival,68857,4043,15071,87971
12/29/2019,Q4,5,L+A,Airport,Departure,34214,5197,18618,58029
12/29/2019,Q4,5,L+A,Express Rail Link West Kowloon,Arrival,21898,6316,807,29021
12/29/2019,Q4,5,L+A,Express Rail Link West Kowloon,Departure,7820,7210,714,15744
12/29/2019,Q4,5,L+A,Hung Hom,Arrival,2361,270,126,2757
12/29/2019,Q4,5,L+A,Hung Hom,Departure,909,565,130,1604
12/29/2019,Q4,5,L+A,Lo Wu,Arrival,105272,17421,1284,123977
12/29/2019,Q4,5,L+A,Lo Wu,Departure,68849,20296,1133,90278
12/29/2019,Q4,5,L+A,Lok Ma Chau Spur Line,Arrival,52506,21017,465,73988
12/29/2019,Q4,5,L+A,Lok Ma Chau Spur Line,Departure,36680,21319,420,58419
12/29/2019,Q4,5,L+A,Hong Kong-Zhuhai-Macao Bridge,Arrival,28882,2493,3261,34636
12/29/2019,Q4,5,L+A,Hong Kong-Zhuhai-Macao Bridge,Departure,18039,5016,4424,27479
12/29/2019,Q4,5,L+A,Lok Ma Chau,Arrival,28831,5042,705,34578
12/29/2019,Q4,5,L+A,Lok Ma Chau,Departure,17354,4405,471,22230
12/29/2019,Q4,5,L+A,Man Kam To,Arrival,2185,1533,24,3742
12/29/2019,Q4,5,L+A,Man Kam To,Departure,1325,1004,22,2351
12/29/2019,Q4,5,L+A,Sha Tau Kok,Arrival,2883,562,75,3520
12/29/2019,Q4,5,L+A,Sha Tau Kok,Departure,1713,567,48,2328
12/29/2019,Q4,5,L+A,Shenzhen Bay,Arrival,52401,14520,1147,68068
12/29/2019,Q4,5,L+A,Shenzhen Bay,Departure,27509,16198,846,44553
12/29/2019,Q4,5,L+A,China Ferry Terminal,Arrival,3841,557,986,5384
12/29/2019,Q4,5,L+A,China Ferry Terminal,Departure,1933,703,1116,3752
12/29/2019,Q4,5,L+A,Harbour Control,Arrival,0,0,205,205
12/29/2019,Q4,5,L+A,Harbour Control,Departure,0,0,1,1
12/29/2019,Q4,5,L+A,Kai Tak Cruise Terminal,Arrival,5895,628,2230,8753
12/29/2019,Q4,5,L+A,Kai Tak Cruise Terminal,Departure,3296,706,2560,6562
12/29/2019,Q4,5,L+A,Macau Ferry Terminal,Arrival,13038,440,2626,16104
12/29/2019,Q4,5,L+A,Macau Ferry Terminal,Departure,9147,416,2774,12337
12/29/2019,Q4,5,L+A,Tuen Mun Ferry Terminal,Arrival,837,9,25,871
12/29/2019,Q4,5,L+A,Tuen Mun Ferry Terminal,Departure,587,0,24,611
12/30/2019,Q4,5,L+A,Airport,Arrival,58966,4999,18078,82043
12/30/2019,Q4,5,L+A,Airport,Departure,27989,4963,17085,50037
12/30/2019,Q4,5,L+A,Express Rail Link West Kowloon,Arrival,15359,8155,1052,24566
12/30/2019,Q4,5,L+A,Express Rail Link West Kowloon,Departure,8018,7427,730,16175
12/30/2019,Q4,5,L+A,Hung Hom,Arrival,1426,490,178,2094
12/30/2019,Q4,5,L+A,Hung Hom,Departure,1281,512,113,1906
12/30/2019,Q4,5,L+A,Lo Wu,Arrival,86161,19281,1275,106717
12/30/2019,Q4,5,L+A,Lo Wu,Departure,76290,19184,1191,96665
12/30/2019,Q4,5,L+A,Lok Ma Chau Spur Line,Arrival,44897,16618,483,61998
12/30/2019,Q4,5,L+A,Lok Ma Chau Spur Line,Departure,39914,14679,475,55068
12/30/2019,Q4,5,L+A,Hong Kong-Zhuhai-Macao Bridge,Arrival,18713,2268,3760,24741
12/30/2019,Q4,5,L+A,Hong Kong-Zhuhai-Macao Bridge,Departure,15315,3596,4501,23412
12/30/2019,Q4,5,L+A,Lok Ma Chau,Arrival,25832,8104,599,34535
12/30/2019,Q4,5,L+A,Lok Ma Chau,Departure,20952,5759,524,27235
12/30/2019,Q4,5,L+A,Man Kam To,Arrival,2256,1712,12,3980
12/30/2019,Q4,5,L+A,Man Kam To,Departure,1867,1061,12,2940
12/30/2019,Q4,5,L+A,Sha Tau Kok,Arrival,2373,653,66,3092
12/30/2019,Q4,5,L+A,Sha Tau Kok,Departure,2283,521,69,2873
12/30/2019,Q4,5,L+A,Shenzhen Bay,Arrival,36863,13269,1294,51426
12/30/2019,Q4,5,L+A,Shenzhen Bay,Departure,26718,12663,1011,40392
12/30/2019,Q4,5,L+A,China Ferry Terminal,Arrival,3032,977,1338,5347
12/30/2019,Q4,5,L+A,China Ferry Terminal,Departure,2359,902,1093,4354
12/30/2019,Q4,5,L+A,Harbour Control,Arrival,0,0,40,40
12/30/2019,Q4,5,L+A,Harbour Control,Departure,1,0,1,2
12/30/2019,Q4,5,L+A,Kai Tak Cruise Terminal,Arrival,555,57,2867,3479
12/30/2019,Q4,5,L+A,Kai Tak Cruise Terminal,Departure,486,59,26,571
12/30/2019,Q4,5,L+A,Macau Ferry Terminal,Arrival,10498,567,3302,14367
12/30/2019,Q4,5,L+A,Macau Ferry Terminal,Departure,9942,543,2983,13468
12/30/2019,Q4,5,L+A,Tuen Mun Ferry Terminal,Arrival,626,5,30,661
12/30/2019,Q4,5,L+A,Tuen Mun Ferry Terminal,Departure,601,4,23,628
12/31/2019,Q4,5,L+A,Airport,Arrival,58757,4109,14087,76953
12/31/2019,Q4,5,L+A,Airport,Departure,26654,5183,14984,46821
12/31/2019,Q4,5,L+A,Express Rail Link West Kowloon,Arrival,13602,7453,1188,22243
12/31/2019,Q4,5,L+A,Express Rail Link West Kowloon,Departure,9502,6318,502,16322
12/31/2019,Q4,5,L+A,Hung Hom,Arrival,1528,467,162,2157
12/31/2019,Q4,5,L+A,Hung Hom,Departure,1026,420,115,1561
12/31/2019,Q4,5,L+A,Lo Wu,Arrival,79480,19271,1102,99853
12/31/2019,Q4,5,L+A,Lo Wu,Departure,86505,19042,816,106363
12/31/2019,Q4,5,L+A,Lok Ma Chau Spur Line,Arrival,43113,16921,494,60528
12/31/2019,Q4,5,L+A,Lok Ma Chau Spur Line,Departure,45852,14823,331,61006
12/31/2019,Q4,5,L+A,Hong Kong-Zhuhai-Macao Bridge,Arrival,15091,2265,2835,20191
12/31/2019,Q4,5,L+A,Hong Kong-Zhuhai-Macao Bridge,Departure,16844,3196,3347,23387
12/31/2019,Q4,5,L+A,Lok Ma Chau,Arrival,22789,5464,724,28977
12/31/2019,Q4,5,L+A,Lok Ma Chau,Departure,24429,4928,410,29767
12/31/2019,Q4,5,L+A,Man Kam To,Arrival,2075,1388,27,3490
12/31/2019,Q4,5,L+A,Man Kam To,Departure,2063,973,14,3050
12/31/2019,Q4,5,L+A,Sha Tau Kok,Arrival,2426,652,102,3180
12/31/2019,Q4,5,L+A,Sha Tau Kok,Departure,2196,505,48,2749
12/31/2019,Q4,5,L+A,Shenzhen Bay,Arrival,34406,13059,1128,48593
12/31/2019,Q4,5,L+A,Shenzhen Bay,Departure,27484,11880,776,40140
12/31/2019,Q4,5,L+A,China Ferry Terminal,Arrival,2507,649,889,4045
12/31/2019,Q4,5,L+A,China Ferry Terminal,Departure,2055,767,780,3602
12/31/2019,Q4,5,L+A,Harbour Control,Arrival,31,0,63,94
12/31/2019,Q4,5,L+A,Harbour Control,Departure,0,0,3,3
12/31/2019,Q4,5,L+A,Kai Tak Cruise Terminal,Arrival,482,55,1559,2096
12/31/2019,Q4,5,L+A,Kai Tak Cruise Terminal,Departure,1101,94,2850,4045
12/31/2019,Q4,5,L+A,Macau Ferry Terminal,Arrival,8645,480,2471,11596
12/31/2019,Q4,5,L+A,Macau Ferry Terminal,Departure,10108,567,2221,12896
12/31/2019,Q4,5,L+A,Tuen Mun Ferry Terminal,Arrival,536,7,27,570
12/31/2019,Q4,5,L+A,Tuen Mun Ferry Terminal,Departure,558,5,14,577
1/1/2020,Q1,5,L+A,Airport,Arrival,66624,3733,11409,81766
1/1/2020,Q1,5,L+A,Airport,Departure,28618,4677,19370,52665
1/1/2020,Q1,5,L+A,Express Rail Link West Kowloon,Arrival,15040,6781,558,22379
1/1/2020,Q1,5,L+A,Express Rail Link West Kowloon,Departure,5699,7106,917,13722
1/1/2020,Q1,5,L+A,Hung Hom,Arrival,1262,272,82,1616
1/1/2020,Q1,5,L+A,Hung Hom,Departure,521,312,127,960
1/1/2020,Q1,5,L+A,Lo Wu,Arrival,89085,18772,820,108677
